Aesthetic,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_Luminance,Mean_Saturation,Contrast,Color1_R,Color1_G,Color1_B,Color1_Hue,Color2_R,Color2_G,Color2_B,Color2_Hue,Color3_R,Color3_G,Color3_B,Color3_Hue,Color4_R,Color4_G,Color4_B,Color4_Hue,Color5_R,Color5_G,Color5_B,Color5_Hue
Vintage,175.2,146.4,120.8,46.657903939204125,49.40283392681032,48.172191148005716,150.67456,0.3330267599695279,134.72039999999998,115,89,68,167,133,108,207,178,146,246,225,201,141,107,81,26.808510638297864,25.423728813559332,31.47540983606557,31.999999999999993,26.000000000000004
Vintage,161.0,128.6,106.0,48.98571220264129,49.11863190277188,43.09524335701099,133.85652,0.36266982942921855,145.3474,86,59,46,141,108,90,193,154,125,231,206,176,154,116,93,19.500000000000004,21.176470588235286,25.58823529411764,32.727272727272734,22.622950819672138
Vintage,181.2,150.6,122.0,44.264658588991736,49.35017730464603,47.146579939588406,155.04064,0.349936786291093,143.45,111,79,58,163,127,99,208,178,140,243,226,200,181,143,113,23.77358490566038,26.250000000000007,33.52941176470587,36.27906976744186,26.47058823529412
Vintage,170.2,135.8,110.6,47.20762650250487,47.73007437664433,43.2416465921454,141.294,0.3694156247496521,138.06140000000005,103,75,57,160,123,96,199,160,131,242,214,183,147,107,86,23.478260869565215,25.3125,25.588235294117652,31.525423728813568,20.655737704918035
Vintage,152.0,119.4,99.8,47.970824466544244,48.58230130407575,40.33063351845592,124.91563999999998,0.3604026244279475,137.0546,85,58,50,140,103,84,186,149,124,223,197,165,126,90,76,13.714285714285719,20.357142857142858,24.193548387096786,33.10344827586207,16.800000000000008
Vintage,164.6,126.6,106.8,49.03305007849298,53.60820832671057,51.0270516491008,133.24924,0.38435466166436916,147.7268,98,61,49,155,111,88,200,160,138,237,212,190,133,89,69,14.693877551020405,20.59701492537314,21.29032258064517,28.08510638297873,18.749999999999993
Vintage,184.0,146.2,123.0,43.05810028322197,51.01137128131335,49.50555524383097,152.56123999999997,0.3572720426177787,140.52739999999997,122,80,63,179,136,111,211,179,153,248,225,202,160,111,86,17.288135593220332,22.058823529411768,26.89655172413792,30.0,20.27027027027027
Vintage,147.2,117.0,95.8,48.37106573148869,48.5633606744838,42.25352056338028,121.88987999999999,0.3680971653916859,142.556,75,54,45,126,92,72,176,138,111,219,198,169,140,103,82,17.999999999999996,22.22222222222222,24.923076923076913,34.80000000000002,21.72413793103448
Vintage,192.2,156.6,129.2,37.52012793155162,47.453556241866636,47.48641911115219,162.19027999999997,0.3495865160737529,123.8976,140,97,74,183,140,111,223,196,164,245,226,203,170,124,94,20.909090909090896,24.166666666666675,32.54237288135594,32.85714285714285,23.684210526315788
Vintage,161.4,130.6,108.4,48.836871316659916,51.00823462932235,47.2,135.54523999999998,0.3538259931038842,146.49579999999997,92,63,51,150,111,88,189,162,133,237,211,187,139,106,83,17.5609756097561,22.258064516129032,31.071428571428555,28.799999999999986,24.642857142857157
Vintage,178.0,140.6,110.2,42.44054665057933,46.53428843336922,44.46301834108881,146.35636,0.40370902971582173,131.3634,117,81,57,166,132,97,201,168,131,244,214,185,162,108,81,23.999999999999993,30.434782608695667,31.714285714285722,29.491525423728817,20.0
Vintage,159.4,129.4,103.4,48.56171331409138,49.92233968876059,44.49089794553488,133.90079999999998,0.37495558533731405,141.99439999999998,94,65,50,150,114,89,190,159,125,234,209,178,129,100,75,20.45454545454545,24.590163934426236,31.384615384615387,33.214285714285715,27.777777777777775
Vintage,168.4,134.0,108.2,48.693326031397774,51.50922247520341,48.84014741992493,139.45067999999998,0.38797413696680094,147.2242,101,65,47,161,122,95,201,164,134,241,215,188,138,104,77,19.999999999999996,24.54545454545455,26.865671641791057,30.56603773584905,26.55737704918033
Vintage,140.4,110.6,94.2,47.436694657195495,49.06974628016738,42.545975132790176,115.75139999999999,0.3551341333564407,140.7004,71,46,39,123,86,74,167,141,118,213,188,163,128,92,77,13.124999999999993,14.693877551020412,28.163265306122454,30.000000000000014,17.647058823529417
Vintage,167.0,136.0,116.8,45.51043836308325,49.91192242340501,47.7426434123625,141.20436,0.32747480997960643,139.22820000000002,108,73,56,156,125,106,194,166,146,239,215,192,138,101,84,19.615384615384613,22.799999999999986,25.000000000000018,29.361702127659576,18.888888888888886
Vintage,145.2,117.8,100.0,46.092949569321334,48.45368923002664,43.58898943540674,122.34007999999999,0.3379964085454115,140.9262,79,54,43,122,91,75,168,141,119,217,197,172,140,106,91,18.33333333333333,20.425531914893615,26.938775510204092,33.33333333333334,18.367346938775512
Vintage,160.0,130.0,105.8,49.86782529848279,52.744667976962376,47.01233880589222,134.63076,0.3649336050612358,144.42880000000002,94,67,51,148,116,92,197,163,132,234,214,183,127,90,71,22.325581395348838,25.714285714285708,28.615384615384592,36.47058823529413,20.357142857142858
Vintage,172.8,140.8,114.2,45.573676612711424,51.96691255019871,49.63224758158752,145.68267999999998,0.3675157903598808,141.30559999999997,113,77,58,161,128,104,203,175,140,243,222,196,144,102,73,20.727272727272727,25.263157894736842,33.333333333333336,33.19148936170214,24.507042253521135
Vintage,167.8,134.6,110.0,47.48220719385315,50.35315283078111,46.58325879540846,139.88219999999998,0.36873079678166215,138.56799999999998,103,73,57,160,120,94,198,169,138,240,213,186,138,98,75,20.869565217391298,23.636363636363633,30.999999999999996,30.000000000000014,21.904761904761912
Vintage,152.8,121.4,97.6,47.41054734971956,48.13564168056763,41.792822350255314,126.35727999999999,0.3843758681747368,135.27519999999998,91,61,47,141,107,84,184,151,121,226,198,166,122,90,70,19.090909090909093,24.210526315789476,28.571428571428577,32.00000000000001,23.076923076923073
Vintage,178.0,146.0,120.4,44.64078852350169,46.2644571998851,44.929277759607935,150.95488,0.34265647327509624,130.57080000000002,117,89,68,165,133,107,206,174,142,247,220,196,155,114,89,25.714285714285708,26.89655172413794,30.0,28.235294117647065,22.727272727272737
Vintage,173.8,137.8,113.8,48.1057169159758,51.801158288208185,49.66044703785901,143.7208,0.37333104344550716,141.87,111,74,55,161,122,99,209,174,140,246,218,196,142,101,79,20.357142857142858,22.25806451612904,29.565217391304355,26.399999999999974,20.952380952380945
Vintage,144.8,116.2,95.2,52.49914285014566,49.977594980150855,42.95765356720499,120.76415999999999,0.36039937961929425,141.329,78,57,46,129,94,73,179,146,117,227,198,168,111,86,72,20.625,22.500000000000014,28.06451612903226,30.5084745762712,21.53846153846155
Vintage,166.0,131.0,106.6,46.75467891024384,49.51363448586662,45.767237189937525,136.67932000000002,0.38264140607852953,136.1428,106,73,56,150,116,92,197,161,131,239,211,183,138,94,71,20.39999999999999,24.827586206896548,27.27272727272727,29.99999999999999,20.59701492537314
Vintage,152.0,120.4,97.0,46.45858370635076,47.238120199686186,41.39082023830888,125.42867999999999,0.3846246958447352,131.19779999999997,92,64,49,136,102,81,180,151,123,226,196,164,126,89,68,20.930232558139533,22.909090909090917,29.473684210526308,30.967741935483883,21.72413793103448
Vintage,177.0,140.2,115.2,47.84140466165265,52.41144913089124,50.24101909794426,146.21868,0.37667619480834624,143.30039999999997,113,76,58,166,127,101,212,175,141,248,222,199,146,101,77,19.636363636363637,24.0,28.732394366197177,28.163265306122454,20.869565217391305
Vintage,144.0,115.6,94.0,52.38320341483518,49.30152127470308,43.538488719752316,120.07832,0.36839872704750626,139.7582,79,58,45,125,94,73,178,144,116,227,197,168,111,85,68,22.94117647058823,24.230769230769244,27.096774193548388,29.491525423728827,23.720930232558135
Vintage,152.4,120.8,96.8,47.16184898835074,47.5747832365004,40.80882257551668,125.78536,0.3860685990338164,134.3434,90,61,48,138,107,84,184,149,119,225,197,164,125,90,69,18.571428571428573,25.555555555555564,27.6923076923077,32.45901639344263,22.500000000000014
Vintage,177.2,140.8,114.8,47.30073995192887,51.6852009766819,49.90551071775541,146.66144,0.3795738460700232,140.86999999999998,114,79,58,166,127,102,211,175,140,248,222,198,147,101,76,22.5,23.4375,29.577464788732396,28.800000000000004,21.12676056338028
Vintage,164.2,130.6,107.2,48.391734831477166,51.04742892644055,45.17255804135958,136.05388,0.3701027658954301,138.85399999999998,102,70,56,152,120,93,198,163,132,238,211,182,131,89,73,18.2608695652174,27.45762711864407,28.181818181818162,31.071428571428555,16.551724137931036
Vintage,144.4,115.4,94.6,52.62546911904919,49.90631222601005,43.86160051799296,120.06363999999999,0.3657054949724633,142.18859999999998,78,56,45,127,95,73,179,143,117,227,198,169,111,85,69,19.99999999999999,24.444444444444446,25.16129032258066,30.000000000000014,22.857142857142854
Vintage,167.8,132.0,109.0,46.63646641845842,50.37062636100528,46.208224376186536,137.95047999999997,0.37475388693337985,138.3606,107,73,58,153,118,94,199,161,134,240,214,186,140,94,73,18.367346938775505,24.406779661016948,24.923076923076913,31.111111111111125,18.80597014925374
Vintage,151.6,120.0,96.6,48.40082643922519,48.46441993875507,41.04923872619321,125.02867999999998,0.3830232208825559,137.6242,85,58,47,138,107,84,184,149,119,225,197,164,126,89,69,17.36842105263158,25.555555555555564,27.6923076923077,32.45901639344263,21.052631578947366
Vintage,173.6,137.6,113.2,47.37763185301689,51.66275253991022,50.09750492789037,143.49192,0.3772456336060643,141.517,111,74,54,161,122,98,209,173,140,244,218,196,143,101,78,21.052631578947373,22.85714285714286,28.69565217391305,27.49999999999998,21.230769230769223
Pastel,243.2,221.6,214.0,14.3024473430249,6.770524351924302,12.049896265113654,225.64344,0.13036429475729824,15.026399999999995,242,215,213,250,212,192,253,226,228,216,226,220,255,229,217,4.1379310344827465,20.689655172413808,355.5555555555555,144.0000000000001,18.94736842105265
Pastel,150.8,133.6,143.0,90.94481843403724,73.91508641677963,44.330576355378014,137.9354,0.46998472847763917,182.2206,248,233,161,247,108,108,168,208,219,55,71,133,36,48,94,49.6551724137931,0.0,192.94117647058823,227.69230769230768,227.58620689655172
Pastel,224.8,215.4,207.0,29.6,25.40551121312067,15.297058540778355,216.79196000000002,0.19654338703506738,50.01859999999999,195,177,225,234,199,199,255,229,226,185,251,192,255,221,193,262.5,0.0,6.206896551724171,126.36363636363636,27.0967741935484
Pastel,232.0,212.6,206.6,27.36421020237931,26.8968399630886,39.5808034279245,216.29123999999996,0.25957274893336274,56.70500000000001,255,207,223,199,206,234,253,253,150,198,226,255,255,171,171,340.0,228.0,60.0,210.5263157894737,0.0
Pastel,208.2,209.2,199.0,41.44104245793052,24.061587645041215,20.474374227311564,208.25096,0.21113787504469142,51.29179999999997,231,230,225,168,213,186,249,235,200,244,168,168,149,200,216,50.00000000000005,144.0,42.85714285714285,0.0,194.3283582089552
Pastel,225.4,215.0,217.0,33.41017808991745,28.156704352604905,32.69250678672408,217.35544,0.24390779531324727,51.87899999999996,175,203,255,196,250,248,246,234,194,255,168,168,255,220,220,219.00000000000003,177.7777777777778,46.15384615384614,0.0,0.0
Pastel,218.4,212.6,201.6,36.04774611539534,25.896717938765907,26.552589327596657,213.03887999999998,0.2075502426767155,65.87919999999997,229,217,242,212,165,165,249,216,216,250,244,183,152,221,202,268.8,0.0,0.0,54.62686567164181,163.4782608695652
Pastel,242.4,217.6,209.4,23.251666606933792,26.59774426525678,29.74962184633613,222.28044,0.23255787308283207,50.29739999999998,196,252,239,255,216,190,255,171,171,255,218,249,251,231,198,166.07142857142856,23.999999999999993,0.0,309.72972972972974,37.358490566037744
Pastel,238.4,216.6,209.4,20.23462379190678,10.209799214480176,10.55651457631732,220.71483999999995,0.15102795045608022,20.255799999999994,255,229,226,255,203,203,239,211,215,243,212,195,200,228,208,6.206896551724171,0.0,351.42857142857144,21.250000000000032,137.14285714285714
Pastel,215.2,204.8,183.0,42.90640977756121,14.133647795243803,28.892905703649813,205.43707999999998,0.2793952022914429,32.896000000000015,250,217,193,245,199,169,255,182,185,169,222,228,157,204,140,25.263157894736842,23.684210526315788,357.5342465753425,186.10169491525423,104.0625
Pastel,244.6,195.4,171.4,16.668533228811704,24.220652344641753,13.484806264830059,204.12711999999996,0.31566740110678415,42.33239999999998,255,221,193,255,171,171,255,195,160,212,224,155,246,166,178,27.0967741935484,0.0,22.105263157894733,70.43478260869564,351.00000000000006
Pastel,214.6,191.4,176.4,49.88226137616457,49.51201874292746,58.325294684210554,195.24931999999995,0.4315773076108897,91.88199999999995,255,224,178,255,171,118,255,103,104,164,235,243,144,224,239,35.84415584415584,23.21167883211678,359.60526315789474,186.07594936708858,189.4736842105263
Pastel,243.8,188.8,189.0,22.400000000000002,22.03088740836374,24.543838330627914,200.50744,0.27854198089492205,48.01099999999997,255,218,193,255,183,178,255,154,162,255,183,178,199,206,234,24.19354838709677,3.896103896103904,355.2475247524753,3.896103896103904,228.0
Pastel,212.8,215.8,200.2,34.242663447810244,20.083824337013105,29.532355138051557,214.03588,0.19061366831036125,54.783199999999994,247,244,234,182,215,168,241,192,232,232,232,166,162,196,201,46.15384615384622,102.12765957446807,311.0204081632653,60.0,187.69230769230768
Pastel,232.4,218.4,199.6,26.05071975973025,13.169662106523463,45.64909637659874,220.01904,0.20278230521065974,27.750399999999985,253,226,228,250,210,225,249,198,201,226,236,233,184,222,111,355.5555555555555,337.5,356.47058823529414,161.99999999999991,80.54054054054055
Pastel,240.0,212.2,209.4,14.791889669680478,17.993332098307974,20.886359184884284,217.90811999999997,0.12924341060124353,47.664199999999965,211,184,174,244,217,216,250,227,227,251,233,231,244,200,199,16.21621621621621,2.1428571428571352,0.0,5.999999999999985,1.3333333333333286
Pastel,252.6,200.4,161.6,3.3823069050575527,22.473095024940378,39.28154783101094,208.69636,0.3617174949495744,50.821200000000005,253,232,214,255,215,186,254,200,154,255,166,158,246,189,96,27.69230769230768,25.21739130434783,27.599999999999998,4.948453608247425,37.2
Pastel,240.0,219.8,192.4,27.568097504180443,29.348935244740993,15.460918472070151,222.11624,0.24549944535583154,52.886199999999974,255,231,214,255,168,168,255,209,186,185,251,192,250,240,202,24.878048780487802,0.0,20.0,126.36363636363636,47.500000000000014
Pastel,234.6,221.4,206.2,21.85040045399626,16.84755175092215,21.39532659250613,223.10888,0.1949960477082382,41.54779999999997,197,203,227,223,207,234,247,217,196,251,231,198,255,249,176,228.00000000000003,275.55555555555554,24.705882352941163,37.358490566037744,55.443037974683534
Pastel,242.6,214.0,195.6,21.47184202624451,24.48673110074107,21.740285186721906,218.75187999999997,0.2002569242144836,52.38799999999998,255,236,223,248,213,184,255,170,167,255,238,219,200,213,185,24.375000000000018,27.187500000000007,2.045454545454537,31.666666666666686,87.85714285714286
Pastel,255.0,186.2,195.6,0.0,25.10298786997277,26.612778885340028,201.50555999999997,0.2698039215686274,59.91459999999998,255,229,236,255,194,209,255,179,198,255,153,159,255,176,176,343.8461538461538,345.24590163934425,345.0,356.47058823529414,0.0
Pastel,245.2,228.6,212.2,16.70209567689037,16.230834852218784,15.791136754521506,230.94508000000002,0.14700163005940045,32.775199999999984,255,198,199,254,233,226,250,243,221,212,228,188,255,241,227,358.94736842105266,15.0,45.51724137931033,83.99999999999999,30.0
Pastel,235.4,230.0,216.2,24.532427519509763,16.87601848778319,18.280043763623762,230.15168,0.16615090088898993,33.772399999999976,255,203,210,255,248,232,255,235,183,214,245,229,198,219,227,351.9230769230769,41.7391304347826,43.33333333333333,149.03225806451613,196.55172413793105
Pastel,225.4,215.2,210.8,12.595237195067032,15.484185480676729,11.805083650698965,217.05083999999997,0.11001908161762079,26.097800000000007,231,232,209,211,226,221,214,225,227,225,198,202,246,195,195,62.6086956521739,160.00000000000006,189.2307692307692,351.11111111111114,0.0
Pastel,224.4,230.8,217.6,21.509067855209345,10.851727973000429,20.13554071784515,228.48631999999998,0.15211252247388876,22.48339999999996,244,215,195,210,231,211,198,228,218,215,249,255,255,231,209,24.489795918367353,122.85714285714285,159.99999999999997,189.0,28.69565217391305
Pastel,227.6,221.2,222.4,23.946607275353223,17.70197729068705,14.867414032036642,222.64728,0.1247496817035992,34.58299999999997,225,244,243,184,214,199,241,192,232,233,233,216,255,223,222,176.84210526315783,150.0,311.0204081632653,60.0,1.81818181818181
Pastel,247.2,220.0,225.4,9.21737489744233,17.216271373325874,13.062924634246345,226.17259999999996,0.1384525354363563,31.3074,255,194,233,252,230,232,243,209,209,231,244,242,255,223,211,321.6393442622951,354.54545454545456,0.0,170.76923076923066,16.363636363636378
Pastel,252.2,216.8,199.8,2.6381811916545836,22.569005294872877,18.808508712813996,223.09864,0.20808557583166926,47.09040000000002,252,234,222,255,230,198,251,234,211,255,211,202,248,175,166,23.999999999999968,33.68421052631579,34.5,10.18867924528301,6.585365853658536
Pastel,235.0,222.4,213.4,23.16031087874254,12.768711759609895,13.893883546366725,224.42896000000002,0.12919643624859736,26.121800000000007,255,231,222,250,227,227,255,197,197,216,229,225,199,228,196,16.363636363636356,0.0,0.0,161.5384615384615,114.37500000000003
Pastel,228.0,225.4,205.0,17.378147196982766,7.863841300534999,6.899275324264136,224.47988,0.1248043773635664,18.173000000000002,212,217,209,229,229,207,205,234,192,246,232,212,248,215,205,97.49999999999987,60.0,101.4285714285714,35.294117647058805,13.953488372093016
